topw	w	count	topwlen	toplett	wlett	wlastlett	diffw
электронной	электрнной	8	11	э	э	й	1
электронной	элктронной	4	11	э	э	й	1
электронной	электрoнной	2	11	э	э	й	1
электронной	электpонной	1	11	э	э	й	1
электронной	элекиронной	14	11	э	э	й	1
электронной	электронноф	1	11	э	э	ф	0
электронной	электроннйо	1	11	э	э	о	0
электронной	электнонной	1	11	э	э	й	1
электронной	злектронной	2	11	э	з	й	1
электронной	электроннрой	1	11	э	э	й	1
электронной	электроннойт	3	11	э	э	т	0
электронной	элкектронной	1	11	э	э	й	1
электронной	электронноой	1	11	э	э	й	1
электронной	эллектронной	4	11	э	э	й	1
электронной	элекстронной	2	11	э	э	й	1
электронной	электроннной	25	11	э	э	й	1
электронной	электоронной	22	11	э	э	й	1
электронной	вэлектронной	12	11	э	в	й	1
электронной	электронноый	1	11	э	э	й	1
средств	редств	1	7	с	р	в	1
средств	средст	43	7	с	с	т	0
средств	срдств	1	7	с	с	в	1
средств	седств	2	7	с	с	в	1
средств	средсв	4	7	с	с	в	1
средств	средтв	3	7	с	с	в	1
средств	среств	1	7	с	с	в	1
средств	срeдств	13	7	с	с	в	1
средств	средcтв	3	7	с	с	в	1
средств	средвтв	3	7	с	с	в	1
средств	средсив	2	7	с	с	в	1
средств	сркедств	2	7	с	с	в	1
средств	гсредств	5	7	с	г	в	1
средств	соредств	2	7	с	с	в	1
средств	средстсв	1	7	с	с	в	1
средств	стредств	8	7	с	с	в	1
средств	средаств	1	7	с	с	в	1
средств	средствх	2	7	с	с	х	0
питания	питаия	6	7	п	п	я	1
питания	птания	2	7	п	п	я	1
питания	питаня	5	7	п	п	я	1
питания	питния	2	7	п	п	я	1
питания	пиания	2	7	п	п	я	1
питания	питaния	7	7	п	п	я	1
питания	питнаия	5	7	п	п	я	1
питания	питании	47	7	п	п	и	0
питания	пинания	4	7	п	п	я	1
питания	питанияя	3	7	п	п	я	1
питания	питаниия	4	7	п	п	я	1
питания	птитания	1	7	п	п	я	1
питания	питапния	1	7	п	п	я	1
питания	питанимя	1	7	п	п	я	1
питания	питанияв	2	7	п	п	в	0
питания	питаниян	1	7	п	п	н	0
питания	питаниям	7	7	п	п	м	0
питания	пиитания	2	7	п	п	я	1
оборудования	оборудоваия	1	12	о	о	я	1
оборудования	оборудоания	1	12	о	о	я	1
оборудования	обрудования	46	12	о	о	я	1
оборудования	обоудования	3	12	о	о	я	1
оборудования	борудования	6	12	о	б	я	1
оборудования	обордования	4	12	о	о	я	1
оборудования	оборудовани	10	12	о	о	и	0
оборудования	оборудовния	13	12	о	о	я	1
оборудования	оборуования	2	12	о	о	я	1
оборудования	оорудования	1	12	о	о	я	1
оборудования	обoрудования	2	12	о	о	я	1
оборудования	oборудования	4	12	о	o	я	1
оборудования	оборудывания	1	12	о	о	я	1
оборудования	оьорудования	2	12	о	о	я	1
оборудования	рборудования	1	12	о	р	я	1
оборудования	оборудованияа	3	12	о	о	а	0
оборудования	оборудованияв	10	12	о	о	в	0
оборудования	оборудованиям	1	12	о	о	м	0
оборудования	оборудованияо	1	12	о	о	о	0
оборудования	оборукдования	2	12	о	о	я	1
оборудования	обороудования	1	12	о	о	я	1
оборудования	оборудоования	4	12	о	о	я	1
оборудования	оборудованияи	1	12	о	о	и	0
оборудования	оборудованияс	2	12	о	о	с	0
оборудования	обору­дования	2	12	о	о	я	1
оборудования	обборудования	2	12	о	о	я	1
оборудования	оборудорвания	1	12	о	о	я	1
оборудования	оборудоавания	2	12	о	о	я	1
оборудования	оборудованичя	2	12	о	о	я	1
оборудования	одборудования	1	12	о	о	я	1
продуктов	продуков	8	9	п	п	в	1
продуктов	прдуктов	5	9	п	п	в	1
продуктов	продутов	13	9	п	п	в	1
продуктов	родуктов	5	9	п	р	в	1
продуктов	проуктов	6	9	п	п	в	1
продуктов	подуктов	11	9	п	п	в	1
продуктов	продуктoв	2	9	п	п	в	1
продуктов	прoдуктов	5	9	п	п	в	1
продуктов	продуктаи	4	9	п	п	и	0
продуктов	паодуктов	1	9	п	п	в	1
продуктов	продуктво	2	9	п	п	о	0
продуктов	продектов	4	9	п	п	в	1
продуктов	продуктово	1	9	п	п	о	0
продуктов	продуктова	1	9	п	п	а	0
продуктов	продуктовв	4	9	п	п	в	1
продуктов	ппродуктов	2	9	п	п	в	1
продуктов	прордуктов	1	9	п	п	в	1
продуктов	пролдуктов	1	9	п	п	в	1
продуктов	пародуктов	1	9	п	п	в	1
продуктов	гпродуктов	1	9	п	г	в	1
продуктов	породуктов	1	9	п	п	в	1
продуктов	продуктоав	1	9	п	п	в	1
продуктов	продукитов	2	9	п	п	в	1
продуктов	продауктов	1	9	п	п	в	1
продуктов	проодуктов	2	9	п	п	в	1
продуктов	продукцтов	1	9	п	п	в	1
ремонт	ремон	9	6	р	р	н	0
ремонт	ремот	11	6	р	р	т	1
ремонт	реонт	2	6	р	р	т	1
ремонт	pемонт	17	6	р	p	т	1
ремонт	ремoнт	27	6	р	р	т	1
ремонт	рeмонт	22	6	р	р	т	1
ремонт	hемонт	2	6	р	h	т	1
ремонт	демонт	1	6	р	д	т	1
ремонт	оемонт	4	6	р	о	т	1
ремонт	редант	34	6	р	р	т	1
ремонт	ремрнт	1	6	р	р	т	1
ремонт	регент	6	6	р	р	т	1
ремонт	ремнот	4	6	р	р	т	1
ремонт	ремомнт	1	6	р	р	т	1
ремонт	рремонт	9	6	р	р	т	1
ремонт	гремонт	1	6	р	г	т	1
ремонт	ремонет	1	6	р	р	т	1
